byggeaar,antall,energi
1900,79505.0,22480.199109487385
1901,2407.0,22480.199109487385
1902,2407.0,22480.199109487385
1903,2407.0,22480.199109487385
1904,2407.0,22480.199109487385
1905,2407.0,22480.199109487385
1906,2407.0,22480.199109487385
1907,2407.0,22480.199109487385
1908,2407.0,22480.199109487385
1909,2407.0,22480.199109487385
1910,2407.0,22480.199109487385
1911,2407.0,22480.199109487385
1912,2407.0,22480.199109487385
1913,2407.0,22480.199109487385
1914,2407.0,22480.199109487385
1915,2407.0,22480.199109487385
1916,2407.0,22480.199109487385
1917,2407.0,22480.199109487385
1918,2407.0,22480.199109487385
1919,2407.0,22480.199109487385
1920,2407.0,22480.199109487385
1921,3763.3,22480.199109487385
1922,3763.3,22480.199109487385
1923,3763.3,22480.199109487385
1924,3763.3,22480.199109487385
1925,3763.3,22480.199109487385
1926,3763.3,22480.199109487385
1927,3763.3,22480.199109487385
1928,3763.3,22480.199109487385
1929,3763.3,22480.199109487385
1930,3763.3,22480.199109487385
1931,3763.3,23526.214408037446
1932,3763.3,23526.214408037446
1933,3763.3,23526.214408037446
1934,3763.3,23526.214408037446
1935,3763.3,23526.214408037446
1936,3763.3,23526.214408037446
1937,3763.3,23526.214408037446
1938,3763.3,23526.214408037446
1939,3763.3,23526.214408037446
1940,3763.3,23526.214408037446
1941,1627.4,23526.214408037446
1942,1627.4,23526.214408037446
1943,1627.4,23526.214408037446
1944,1627.4,23526.214408037446
1945,1627.4,23526.214408037446
1946,11322.333333333334,23526.214408037446
1947,11322.333333333334,23526.214408037446
1948,11322.333333333334,23526.214408037446
1949,11322.333333333334,23526.214408037446
1950,11322.333333333334,23526.214408037446
1951,11322.333333333334,23526.214408037446
1952,11322.333333333334,23526.214408037446
1953,11322.333333333334,23526.214408037446
1954,11322.333333333334,23526.214408037446
1955,11322.333333333334,22514.109829889254
1956,11322.333333333334,22514.109829889254
1957,11322.333333333334,22514.109829889254
1958,11322.333333333334,22514.109829889254
1959,11322.333333333334,22514.109829889254
1960,11322.333333333334,22514.109829889254
1961,15887.3,22514.109829889254
1962,15887.3,22514.109829889254
1963,15887.3,22514.109829889254
1964,15887.3,22514.109829889254
1965,15887.3,22514.109829889254
1966,15887.3,22514.109829889254
1967,15887.3,22514.109829889254
1968,15887.3,22514.109829889254
1969,15887.3,22514.109829889254
1970,72756.3,22514.109829889254
1971,21577.2,24390.93777828519
1972,21577.2,24390.93777828519
1973,21577.2,24390.93777828519
1974,21577.2,24390.93777828519
1975,21577.2,24390.93777828519
1976,21577.2,24390.93777828519
1977,21577.2,24390.93777828519
1978,21577.2,24390.93777828519
1979,21577.2,24390.93777828519
1980,21577.2,24390.93777828519
1981,19525.0,24390.93777828519
1982,19525.0,24390.93777828519
1983,19525.0,24390.93777828519
1984,19525.0,24390.93777828519
1985,19525.0,24390.93777828519
1986,19525.0,24390.93777828519
1987,19525.0,26316.023290329944
1988,19525.0,26316.023290329944
1989,19525.0,26316.023290329944
1990,19525.0,26316.023290329944
1991,10585.1,26316.023290329944
1992,10585.1,26316.023290329944
1993,10585.1,26316.023290329944
1994,10585.1,26316.023290329944
1995,10585.1,26316.023290329944
1996,10585.1,26316.023290329944
1997,10585.1,21517.656353465005
1998,10585.1,21517.656353465005
1999,10585.1,21517.656353465005
2000,10585.1,21517.656353465005
2001,9356.8,21517.656353465005
2002,9356.8,21517.656353465005
2003,9356.8,21517.656353465005
2004,9356.8,21517.656353465005
2005,9356.8,21517.656353465005
2006,9356.8,21517.656353465005
2007,9356.8,21517.656353465005
2008,9356.8,21517.656353465005
2009,9356.8,21517.656353465005
2010,9356.8,18766.975225482358
2011,7683.3,18766.975225482358
2012,7683.3,18766.975225482358
2013,7683.3,18766.975225482358
2014,7683.3,18766.975225482358
2015,7683.3,18766.975225482358
2016,7683.3,18766.975225482358
2017,7683.3,18766.975225482358
2018,7683.3,18766.975225482358
2019,7683.3,18766.975225482358
2020,7683.3,18766.975225482358
2021,3052.0,18766.975225482358
2022,3052.0,18766.975225482358
