Elektrisitet,"Ved, pellets og vedbriketter",Gass og fjernvarme,byggeaar
14385.0,2627.0,224.0,1900
14385.0,2627.0,224.0,1901
14385.0,2627.0,224.0,1902
14385.0,2627.0,224.0,1903
14385.0,2627.0,224.0,1904
14385.0,2627.0,224.0,1905
14385.0,2627.0,224.0,1906
14385.0,2627.0,224.0,1907
14385.0,2627.0,224.0,1908
14385.0,2627.0,224.0,1909
14385.0,2627.0,224.0,1910
14385.0,2627.0,224.0,1911
14385.0,2627.0,224.0,1912
14385.0,2627.0,224.0,1913
14385.0,2627.0,224.0,1914
14385.0,2627.0,224.0,1915
14385.0,2627.0,224.0,1916
14385.0,2627.0,224.0,1917
14385.0,2627.0,224.0,1918
14385.0,2627.0,224.0,1919
14385.0,2627.0,224.0,1920
14385.0,2627.0,224.0,1921
14385.0,2627.0,224.0,1922
14385.0,2627.0,224.0,1923
14385.0,2627.0,224.0,1924
14385.0,2627.0,224.0,1925
14385.0,2627.0,224.0,1926
14385.0,2627.0,224.0,1927
14385.0,2627.0,224.0,1928
14385.0,2627.0,224.0,1929
14385.0,2627.0,224.0,1930
14935.0,2550.0,553.0,1931
14935.0,2550.0,553.0,1932
14935.0,2550.0,553.0,1933
14935.0,2550.0,553.0,1934
14935.0,2550.0,553.0,1935
14935.0,2550.0,553.0,1936
14935.0,2550.0,553.0,1937
14935.0,2550.0,553.0,1938
14935.0,2550.0,553.0,1939
14935.0,2550.0,553.0,1940
14935.0,2550.0,553.0,1941
14935.0,2550.0,553.0,1942
14935.0,2550.0,553.0,1943
14935.0,2550.0,553.0,1944
14935.0,2550.0,553.0,1945
14935.0,2550.0,553.0,1946
14935.0,2550.0,553.0,1947
14935.0,2550.0,553.0,1948
14935.0,2550.0,553.0,1949
14935.0,2550.0,553.0,1950
14935.0,2550.0,553.0,1951
14935.0,2550.0,553.0,1952
14935.0,2550.0,553.0,1953
14935.0,2550.0,553.0,1954
14642.0,1911.0,709.0,1955
14642.0,1911.0,709.0,1956
14642.0,1911.0,709.0,1957
14642.0,1911.0,709.0,1958
14642.0,1911.0,709.0,1959
14642.0,1911.0,709.0,1960
14642.0,1911.0,709.0,1961
14642.0,1911.0,709.0,1962
14642.0,1911.0,709.0,1963
14642.0,1911.0,709.0,1964
14642.0,1911.0,709.0,1965
14642.0,1911.0,709.0,1966
14642.0,1911.0,709.0,1967
14642.0,1911.0,709.0,1968
14642.0,1911.0,709.0,1969
14642.0,1911.0,709.0,1970
15931.0,2577.0,193.0,1971
15931.0,2577.0,193.0,1972
15931.0,2577.0,193.0,1973
15931.0,2577.0,193.0,1974
15931.0,2577.0,193.0,1975
15931.0,2577.0,193.0,1976
15931.0,2577.0,193.0,1977
15931.0,2577.0,193.0,1978
15931.0,2577.0,193.0,1979
15931.0,2577.0,193.0,1980
15931.0,2577.0,193.0,1981
15931.0,2577.0,193.0,1982
15931.0,2577.0,193.0,1983
15931.0,2577.0,193.0,1984
15931.0,2577.0,193.0,1985
15931.0,2577.0,193.0,1986
18052.0,2049.0,76.0,1987
18052.0,2049.0,76.0,1988
18052.0,2049.0,76.0,1989
18052.0,2049.0,76.0,1990
18052.0,2049.0,76.0,1991
18052.0,2049.0,76.0,1992
18052.0,2049.0,76.0,1993
18052.0,2049.0,76.0,1994
18052.0,2049.0,76.0,1995
18052.0,2049.0,76.0,1996
14240.0,1732.0,526.0,1997
14240.0,1732.0,526.0,1998
14240.0,1732.0,526.0,1999
14240.0,1732.0,526.0,2000
14240.0,1732.0,526.0,2001
14240.0,1732.0,526.0,2002
14240.0,1732.0,526.0,2003
14240.0,1732.0,526.0,2004
14240.0,1732.0,526.0,2005
14240.0,1732.0,526.0,2006
14240.0,1732.0,526.0,2007
14240.0,1732.0,526.0,2008
14240.0,1732.0,526.0,2009
12559.0,882.0,948.0,2010
12559.0,882.0,948.0,2011
12559.0,882.0,948.0,2012
12559.0,882.0,948.0,2013
12559.0,882.0,948.0,2014
12559.0,882.0,948.0,2015
12559.0,882.0,948.0,2016
12559.0,882.0,948.0,2017
12559.0,882.0,948.0,2018
12559.0,882.0,948.0,2019
12559.0,882.0,948.0,2020
12559.0,882.0,948.0,2021
12559.0,882.0,948.0,2022
