"06265: Boliger, etter region, statistikkvariabel, �r og bygningstype"
"region";"Boliger (bebodde og ubebodde) 2025 Enebolig";"Boliger (bebodde og ubebodde) 2025 Tomannsbolig";"Boliger (bebodde og ubebodde) 2025 Rekkehus, kjedehus og andre sm�hus";"Boliger (bebodde og ubebodde) 2025 Boligblokk";"Boliger (bebodde og ubebodde) 2025 Bygning for bofellesskap";"Boliger (bebodde og ubebodde) 2025 Andre bygningstyper"
"K-3101 Halden";8148;2508;2332;2413;666;639
"K-3103 Moss";9095;1945;4693;8363;337;522
"K-3105 Sarpsborg";13327;3622;4162;5265;290;650
"K-3107 Fredrikstad";19041;5203;5732;8008;580;1359
"K-3110 Hvaler";2046;184;114;112;13;118
"K-3112 R�de";2475;245;332;243;39;76
"K-3114 V�ler (�stfold)";1857;176;389;67;46;84
"K-3116 Skiptvet";1272;198;161;101;32;67
"K-3118 Indre �stfold";12598;2240;2715;3328;136;843
"K-3120 Rakkestad";2928;410;368;245;17;162
"K-3122 Marker";1454;170;138;87;16;139
"K-3124 Aremark";654;43;24;5;0;24
"K-3201 B�rum";15943;7273;9215;21023;409;1196
"K-3203 Asker";21748;3968;6066;9254;431;485
"K-3205 Lillestr�m";14369;4614;6322;12160;1090;2653
"K-3207 Nordre Follo";9764;2710;5396;8150;155;419
"K-3209 Ullensaker";7071;1478;2818;7012;73;409
"K-3212 Nesodden";5038;523;1933;1029;135;114
"K-3214 Frogn";4398;547;872;1465;63;321
"K-3216 Vestby";4597;1030;1164;1372;70;236
"K-3218 �s";4591;856;1161;2108;2068;142
"K-3220 Enebakk";3229;463;584;237;31;139
"K-3222 L�renskog";5239;1616;3219;11126;158;228
"K-3224 R�lingen";3275;664;1336;2860;58;68
"K-3226 Aurskog-H�land";6153;493;771;1086;67;144
"K-3228 Nes";7350;647;1375;1306;48;165
"K-3230 Gjerdrum";1812;230;490;474;0;140
"K-3232 Nittedal";5116;1043;1951;2154;69;76
"K-3234 Lunner";3216;491;320;199;63;190
"K-3236 Jevnaker";2353;389;253;326;31;120
"K-3238 Nannestad";3869;681;1176;1046;35;94
"K-3240 Eidsvoll";7312;1249;1212;2216;112;367
"K-3242 Hurdal";1202;153;73;78;0;71
"K-0301 Oslo - Oslove";28165;21425;31741;255196;14233;5155
"K-3301 Drammen";18070;6678;6557;15435;845;1167
"K-3303 Kongsberg";7609;1248;2260;2358;525;559
"K-3305 Ringerike";9346;1441;1794;2742;858;437
"K-3310 Hole";2231;240;206;304;21;92
"K-3312 Lier";6173;1230;1799;2363;19;277
"K-3314 �vre Eiker";6073;781;982;1300;174;179
"K-3316 Modum";5118;776;548;485;66;479
"K-3318 Kr�dsherad";1091;48;20;6;9;55
"K-3320 Fl�";610;21;6;50;20;29
"K-3322 Nesbyen";1532;180;95;61;32;71
"K-3324 Gol";1896;287;298;291;20;186
"K-3326 Hemsedal";1070;219;89;55;2;40
"K-3328 �l";2128;138;148;88;58;117
"K-3330 Hol";2132;213;184;103;20;167
"K-3332 Sigdal";1848;99;23;13;20;45
"K-3334 Flesberg";1172;151;60;34;0;31
"K-3336 Rollag";731;45;36;20;9;13
"K-3338 Nore og Uvdal";1391;73;26;2;4;83
"K-3401 Kongsvinger";5267;690;1423;1858;192;388
"K-3403 Hamar";7240;1421;2006;4932;543;936
"K-3405 Lillehammer";6823;1955;2013;3635;1333;606
"K-3407 Gj�vik";8724;1950;1685;3005;864;357
"K-3411 Ringsaker";12094;1236;1733;1697;95;647
"K-3412 L�ten";2967;210;296;291;59;27
"K-3413 Stange";6802;927;1164;1077;244;222
"K-3414 Nord-Odal";2338;104;80;99;74;61
"K-3415 S�r-Odal";3298;335;287;164;47;56
"K-3416 Eidskog";2833;251;175;91;60;116
"K-3417 Grue";2568;99;122;38;54;104
"K-3418 �snes";3706;150;200;151;120;159
"K-3419 V�ler (Innlandet)";1830;92;130;36;37;40
"K-3420 Elverum";6850;1003;1006;1947;294;279
"K-3421 Trysil";3342;102;154;398;4;112
"K-3422 �mot";1922;121;153;370;884;103
"K-3423 Stor-Elvdal";1541;52;79;4;139;109
"K-3424 Rendalen";1093;43;22;0;19;40
"K-3425 Engerdal";794;32;7;0;22;39
"K-3426 Tolga";725;85;51;18;0;34
"K-3427 Tynset";2242;377;125;226;25;250
"K-3428 Alvdal";1111;94;34;4;11;53
"K-3429 Folldal";812;45;70;0;24;22
"K-3430 Os";885;164;49;0;20;19
"K-3431 Dovre";1210;68;63;0;13;53
"K-3432 Lesja";984;60;27;6;4;26
