"06266: Boliger, etter region, statistikkvariabel, �r og bygnings�r"
"region";"Boliger (bebodde og ubebodde) 2025 1900 og tidligere";"Boliger (bebodde og ubebodde) 2025 1901-1920";"Boliger (bebodde og ubebodde) 2025 1921-1940";"Boliger (bebodde og ubebodde) 2025 1941-1945";"Boliger (bebodde og ubebodde) 2025 1946-1960";"Boliger (bebodde og ubebodde) 2025 1961-1970";"Boliger (bebodde og ubebodde) 2025 1971-1980";"Boliger (bebodde og ubebodde) 2025 1981-1990";"Boliger (bebodde og ubebodde) 2025 1991-2000";"Boliger (bebodde og ubebodde) 2025 2001-2010";"Boliger (bebodde og ubebodde) 2025 2011-2020";"Boliger (bebodde og ubebodde) 2025 2021 og etter";"Boliger (bebodde og ubebodde) 2025 Ukjent"
"K-3101 Halden";1691;890;1093;43;2280;1891;1891;1436;1054;1443;1605;651;738
"K-3103 Moss";1144;616;1002;50;2931;3738;3159;2629;1944;2600;2811;1541;790
"K-3105 Sarpsborg";1503;1400;1992;134;3911;3903;4677;3035;1314;2079;2101;1233;34
"K-3107 Fredrikstad";3597;2054;2156;114;5573;4506;4624;4238;2382;3433;4677;1673;896
"K-3110 Hvaler";300;104;105;7;121;131;236;328;225;451;430;86;63
"K-3112 R�de";178;58;108;11;274;365;503;504;318;519;343;113;116
"K-3114 V�ler (�stfold)";150;36;47;19;125;118;442;350;107;311;439;223;252
"K-3116 Skiptvet";167;59;89;26;157;111;291;195;123;234;186;103;90
"K-3118 Indre �stfold";1282;562;1221;143;2228;2101;3327;2739;1453;2597;2442;937;828
"K-3120 Rakkestad";276;160;333;39;422;318;750;465;192;464;377;160;174
"K-3122 Marker";242;65;88;10;236;177;227;229;92;212;165;61;200
"K-3124 Aremark";125;39;47;5;79;62;103;103;43;45;31;3;65
"K-3201 B�rum";1401;1150;2058;105;8707;9021;7003;8692;4005;4487;6456;1822;152
"K-3203 Asker";1145;1094;1419;98;2813;5675;5102;5446;4524;4682;5576;2900;1478
"K-3205 Lillestr�m";972;553;1302;104;4242;4864;4390;4733;3550;6601;5479;3867;551
"K-3207 Nordre Follo";331;559;468;57;2090;3967;4183;4361;2453;2673;3220;2092;140
"K-3209 Ullensaker";365;195;260;42;869;1556;1219;1453;2130;4139;4250;1917;466
"K-3212 Nesodden";226;350;433;23;798;949;610;1529;743;968;1196;568;379
"K-3214 Frogn";474;140;180;13;621;906;696;1025;1121;955;739;282;514
